,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
18,CHEMBL1730252,Cc1cc(=O)c2c(o1)C(=O)c1occc1C2=O,inactive,230.175,1.31662,0,5,4.204885014
19,CHEMBL1492106,CC(C)OP(=O)(OC(C)C)C1(NS(=O)(=O)c2ccc(Cl)cc2)C=C(Cl)C(=O)C(Cl)=C1,inactive,516.767,5.1858,1,6,4.003138232
20,CHEMBL1877709,O=C(O)c1ccc(NC2=C/C(=N/S(=O)(=O)c3cccs3)c3ccccc3C2=O)cc1,inactive,438.486,3.8166,2,6,4.235898624
21,CHEMBL1730100,O=C1C=CC2=C3c4cc(O)c(O)cc4CC3(O)COC2=C1O,inactive,300.266,1.0773,4,6,4.57642648
22,CHEMBL3195434,COc1c(OC(C)=O)ccc(/C=N\NC(=O)c2ccc(Br)cc2)c1[N+](=O)[O-],inactive,436.218,3.0551,1,7,4.015472687
23,CHEMBL1605379,CCc1ccc(N2C(=O)c3sc4nnc(-c5ccccc5)c(=O)n4c3C2=O)cc1,inactive,402.435,3.181,0,7,4.313989709
24,CHEMBL1440977,NNc1cc([N+](=O)[O-])cc2c1c(=O)n(Cc1ccccc1)[s+]2[O-],inactive,332.341,1.9712,2,7,4.198116293
25,CHEMBL1597427,CCOc1cc(CNc2ccc(N3CCCC3)cc2)cc(Cl)c1OC,inactive,360.885,4.9596,1,4,4.316952962
26,CHEMBL1430159,COc1ccc(C(C2C(=O)CC(C)(C)CC2=O)C2C(=O)CC(C)(C)CC2=O)cc1CO,inactive,428.525,3.4199,1,6,4.339134522
28,CHEMBL1508598,CCOc1cc(/C=C2\C(=O)ON=C2c2ccccc2)ccc1OC,inactive,323.348,3.4384,0,5,4.566710315
29,CHEMBL512216,Cn1c(=O)c2[nH]c(-c3ccccc3)c(O)c2n(C)c1=O,inactive,271.276,0.9379,2,5,4.732828272
30,CHEMBL1374578,O=C(O)c1ccccc1C(=O)c1ccc(Sc2ccc(Cl)cc2)c([N+](=O)[O-])c1,inactive,413.838,5.3286,1,5,4.454816632
31,CHEMBL1547715,O=C1NC(=O)C(=Cc2ccc3ccccc3c2)C(=O)N1,inactive,266.256,1.5892,2,3,4.294136288
35,CHEMBL1711303,Cc1ccc(SC2=C(N(C)C)C(=O)c3ccccc3C2=O)cc1,inactive,323.417,3.93952,0,4,4.187353984
36,CHEMBL1334452,O=C(NCCO)c1ccc2nc(-c3ccco3)c(-c3ccco3)nc2c1,inactive,349.346,2.8719,2,6,4.169668007
37,CHEMBL1476673,COc1cc(/C=C2\SC(=S)N(CCCCC(=O)O)C2=O)ccc1OS(=O)(=O)c1ccc(C)cc1,inactive,521.638,4.22742,1,8,4.400007822
38,CHEMBL1390702,CSC1=NSC2=NC(=O)/C(=C\c3c[nH]c4ccccc34)C(=N)N12,inactive,341.421,3.10757,2,5,4
39,CHEMBL1322139,CC(=O)n1cc(C=C2C(=O)NC(=O)NC2=O)c2ccccc21,inactive,297.27,1.0508,2,5,4.368556231
40,CHEMBL3144954,O=c1c(Sc2ccccc2)c(C(F)(F)F)[nH]n1-c1ccccc1,inactive,336.338,4.3356,1,3,4.22519117
41,CHEMBL1480398,Cc1sc(C(C2C(=O)CC(C)(C)CC2=O)C2C(=O)CC(C)(C)CC2=O)cc1[N+](=O)[O-],inactive,433.526,4.19712,0,7,4.53165267
42,CHEMBL1602234,O=C(O)CN1C(=O)/C(=C\c2cccc(OCc3ccc(F)cc3)c2)SC1=S,inactive,403.456,3.6905,1,5,4.370794343
43,CHEMBL1334552,O=C1C(Cl)=C(N2CCOCC2)C(=O)N1c1ccccc1Cl,inactive,327.167,1.9958,0,4,4.633203617
44,CHEMBL1350958,O=C(O)c1ccccc1-c1ccccc1C(=O)Nc1ccc(-c2nc3cc(Cl)ccc3o2)cc1,inactive,468.896,6.7657,2,4,4.267365032
45,CHEMBL1558809,Cc1ccc(N2C(=O)NC(=O)/C(=C/c3ccc(OC(=O)c4cccs4)cc3)C2=O)cc1,inactive,432.457,3.94212,1,6,4.256882375
46,CHEMBL1430245,COc1ccc(/C=C2/SC(=S)N(NS(=O)(=O)c3ccc(C)cc3)C2=O)cc1,inactive,420.537,3.09832,1,6,4.245040412
47,CHEMBL1423198,Cc1n[nH]c(O)c1C(c1ccc(-c2ccc(C(=O)O)cc2)o1)c1c(C)n[nH]c1O,inactive,394.387,3.29924,5,6,4.036968125
48,CHEMBL1390936,CCOC(=O)c1c(-c2ccc(C)c(C)c2)csc1NC(=O)C1CC=CCC1C(=O)O,inactive,427.522,4.81414,2,5,4.361910278
49,CHEMBL3145017,CCc1c(C)[nH]n(-c2ccc(Oc3ccccc3)c(S(=O)(=O)O)c2)c1=O,inactive,374.418,3.07542,2,5,4.073246095
50,CHEMBL1406745,Cc1ccc(C2C(C(=O)c3ccc(Br)cc3)=C(O)C(=O)N2Cc2ccco2)o1,inactive,442.265,4.72202,1,5,4
51,CHEMBL1469314,O=C1NC(=O)C(=Cc2ccc(Oc3ccc([N+](=O)[O-])cc3)cc2)C(=O)N1,inactive,353.29,2.1365,2,6,4.462180905
52,CHEMBL1547740,O=C(O)CCCN1C(=O)/C(=C\c2ccccc2OCc2ccccc2)SC1=S,inactive,413.52,4.3316,1,5,4.43568909
53,CHEMBL1410383,COC(=O)CCC(=O)OC1(C)C(=O)C2=CN(C3CC3)C(c3ccc(OC)cc3)=CC2=C(Br)C1=O,inactive,530.371,3.4539,0,8,4
54,CHEMBL1602380,Cc1ccc(S(=O)(=O)N2[C@H](c3ccc(Cl)c(Cl)c3)CC=C(C(=O)O)[C@@H]2c2cccc(Cl)c2)cc1,inactive,536.864,6.84322,1,3,4.23739645
55,CHEMBL1597458,Cl.O=C(Nc1cc(S(=O)(=O)N2CCCCC2)ccc1O)c1ccccc1NS(=O)(=O)c1ccc(F)cc1,inactive,570.064,4.1808,3,6,4.168322151
56,CHEMBL1413174,CCCCOc1ccc(Nc2cc(Cl)ccc2C(=O)O)cn1,inactive,320.776,4.3557,2,4,4.223444089
58,CHEMBL1901559,N#CC(=C1C=C(Br)C(=NO)C=C1Cl)c1ccc(Cl)cc1,inactive,370.033,4.86248,1,3,4.204537106
59,CHEMBL1333593,COc1cc(C(=O)Nc2scc(-c3ccc(Br)cc3)c2C(=O)O)cc(OC)c1OC,inactive,492.347,5.1539,2,6,4.236871623
60,CHEMBL1402117,Oc1nc(S)nc2c1C(c1ccc(Br)cc1)c1c(O)nc(S)nc1O2,inactive,437.3,3.3036,4,9,4.132473589
61,CHEMBL1469489,O=C(O)CCN1C(=O)/C(=C\c2cccc(OCC(=O)Nc3ccc(Cl)cc3)c2)SC1=S,inactive,476.963,4.0334,2,6,4.456677099
62,CHEMBL1519860,O=C1NC(=S)NC(=O)C12C(c1ccccc1)N=C(S)NC2c1ccccc1,inactive,396.497,1.8753,4,5,4.158765704
63,CHEMBL1327479,Cc1ccc(S(=O)(=O)NN2C(=O)/C(=C/c3cccc(F)c3)SC2=S)cc1,inactive,408.501,3.22882,1,5,4.566070234
64,CHEMBL1609490,O=[N+]([O-])c1ccc(-[n+]2ccc3ccccc3c2)c([N+](=O)[O-])c1.[Cl-],inactive,331.715,-0.0631,0,4,4
65,CHEMBL1362734,CCn1nc([N+](=O)[O-])c(C(C#N)c2nc3cc(C(F)(F)F)ccc3s2)c(Cl)c1=O,inactive,443.794,4.10878,0,8,4.240332155
66,CHEMBL1731022,CSc1nc(O)c(C(c2ccc(OC(C)C)cc2)c2c(O)nc(SC)nc2O)c(O)n1,inactive,462.553,3.5002,4,11,4.483332441
68,CHEMBL1579562,O=C1C(Cl)=C(N2CCCC2)C(=O)N1c1ccccc1F,inactive,294.713,2.2451,0,3,4.073657553
69,CHEMBL1730974,O=S(=O)(O)c1ccc(O)c2cc(Nc3ccccc3)ccc12,inactive,315.35,3.5357,3,4,4.698102283
70,CHEMBL1441315,Cc1cc(S(=O)(=O)ON2C(=O)c3ccccc3C2=O)ccc1F,inactive,335.312,2.05062,0,5,4
71,CHEMBL1563712,CN1C(=O)NC(=O)/C(=C/c2ccc([N+](=O)[O-])s2)C1=O,inactive,281.249,0.7479,1,6,4.759450752
72,CHEMBL1878916,O=C(O)CN1C(=O)C=CC1=O,inactive,155.109,-1.004,1,3,4
73,CHEMBL1469463,Cc1ccccc1N1C(=O)NC(=O)/C(=C\c2cnn(-c3ccccc3)c2)C1=O,inactive,372.384,2.84712,1,5,4
74,CHEMBL1311185,O=C(Nc1ccccc1)C1=C(c2ccccc2)S(=O)(=O)CCS1(=O)=O,inactive,377.443,1.8371,1,5,4
75,CHEMBL234338,O=c1cc(-c2ccc(O)cc2)oc2c(O)c(O)c(O)c(O)c12,inactive,302.238,1.988,5,7,4
76,CHEMBL1311109,CC(C)(C)c1ccc(C(=O)CC(Sc2ccc(Cl)cc2)C(=O)O)cc1,inactive,376.905,5.4558,1,3,4.41930306
77,CHEMBL3212315,COc1ccc(/C=c2\sc3nc(=O)c(C)nn3c2=O)c(OC)c1,inactive,331.353,0.38452,0,8,4.656394492
78,CHEMBL1327390,CCOc1ccc(/C=C2\SC(=S)N(CCC(=O)Nc3ccccc3C(=O)O)C2=O)cc1,inactive,456.545,4.0135,2,6,4.533577278
79,CHEMBL3193134,O=C(CCN1CCN(c2ccccc2)CC1)N/N=C/c1ccc(O)c(O)c1O,inactive,384.436,1.4658,4,7,4.522011024
80,CHEMBL1711432,COc1cc(NCCCCCCN)c2ncccc2c1OC,inactive,303.406,3.183,2,5,4
81,CHEMBL1311053,CCc1sc(C(C2C(=O)CC(C)(C)CC2=O)C2C(=O)CC(C)(C)CC2=O)cc1[N+](=O)[O-],inactive,447.553,4.4511,0,7,4.785951321
82,CHEMBL1590814,Cc1oc2c(C)c3oc(=O)c(CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc4ccccc4)C(=O)O)c(C)c3cc2c1C,inactive,560.647,4.65838,3,6,4.139123204
83,CHEMBL1711524,Cc1ccc([C@@H]2CC=C(C(=O)O)[C@H](c3ccc(Br)cc3)N2S(=O)(=O)c2ccccc2C)cc1,inactive,526.452,5.95394,1,3,4.469032318
84,CHEMBL1492642,CC(/C=C1\SC(=S)N(NS(=O)(=O)c2ccc(C)cc2)C1=O)=C\c1ccccc1,inactive,430.576,4.03602,1,5,4.56735134
85,CHEMBL1712164,CC(C)c1ccc(N2C(=O)C(Cl)=C(N3CCOCC3)C2=O)cc1,inactive,334.803,2.4658,0,4,4.158765704
86,CHEMBL1391235,COc1cc(O)cc2cc3c(c(O)c12)C(=O)CC(C)(O)O3,inactive,290.271,1.9333,3,6,4.418619311
87,CHEMBL1879156,Cc1ccc(S(=O)(=O)Oc2ccccc2C=C2C(=O)NC(=O)NC2=O)cc1,inactive,386.385,1.51212,2,6,4.434742657
88,CHEMBL1712082,CC1=C(O)C(=O)C=C2C1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C,inactive,450.619,6.6977,2,3,4.706416487
89,CHEMBL1384008,O=C(c1ccc(NC(=O)C(c2ccccc2)c2ccccc2)cc1)c1ccc(C(=O)O)c(C(=O)O)c1,inactive,479.488,5.0846,3,4,4.239276028
90,CHEMBL1449334,CSc1nnc(-c2ccco2)c(-c2ccco2)n1,inactive,259.29,3.1135,0,6,4.061280185
91,CHEMBL1327612,COc1cccc(/C=C/c2nc(O)nc(O)c2[N+](=O)[O-])c1O,inactive,305.246,1.6806,3,8,4.139841739
92,CHEMBL1469698,COc1ccc(C(=O)c2coc3c2C(=O)C(=O)c2ccccc2-3)cc1,inactive,332.311,3.5652,0,5,4.462306806
93,CHEMBL1900163,CCN(CCCNc1cc2c(c(N)c1S(=O)(=O)O)C(=O)c1ccccc1C2=O)c1ccccc1,inactive,479.558,3.6194,3,7,4.500725418
94,CHEMBL1587073,CCCCN(CCCC)c1ccc(C(=O)c2ccccc2C(=O)O)c(O)c1,inactive,369.461,4.728,2,4,4.355758414
95,CHEMBL1462469,COc1ccc(-c2csc(NC(=O)CSc3nc(C)nc4sc(C(=O)O)c(C)c34)n2)cc1,inactive,486.6,4.86924,2,9,4.033013975
96,CHEMBL1541029,C=CCOc1cccc(C2C(C(=O)c3cc4ccccc4o3)=C(O)C(=O)N2c2cc(C)on2)c1,inactive,456.454,5.07692,1,7,4.313185045
97,CHEMBL1731834,Cc1ccc(S(=O)(=O)N2[C@H](c3ccc(C(C)C)cc3)CC=C(C(=O)O)[C@@H]2c2ccc(Br)cc2)cc1,inactive,554.506,6.76892,1,3,4.483068191
98,CHEMBL3197141,Cc1cc(C(=O)N/N=C/c2ccc(O)c(O)c2O)c(C)n1-c1ccccc1,inactive,365.389,2.97484,4,6,4.377268035
99,CHEMBL1554169,O=C(O)/C=C/C(=O)c1ccc2c(c1)CCc1ccccc1-2,inactive,278.307,3.2757,1,2,4.640923774
100,CHEMBL1731730,Oc1c(Cl)cccc1Cc1cc(Cl)cc(Cl)c1O,inactive,303.572,4.6488,2,2,4.342370569
101,CHEMBL3198550,N#C/C(=C\c1cccc(Cl)c1)C(=O)c1ccccc1,inactive,267.715,4.12988,0,2,4.193413066
102,CHEMBL1579924,COc1cccc(/C=C2\SC(=S)N(NS(=O)(=O)c3ccccc3)C2=O)c1OC,inactive,436.536,2.7985,1,7,4.386052523
103,CHEMBL1592785,O=C(O)[C@H](Cc1ccccc1)N1C(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c2C1=O,inactive,433.074,4.5921,1,3,4.621965678
104,CHEMBL1879517,O=C(O)CN1C(=O)/C(=C\c2ccccc2OCc2ccccc2)SC1=S,inactive,385.466,3.5514,1,5,4.44660249
105,CHEMBL1430882,O=[N+]([O-])c1cc([N+](=O)[O-])c2c(Nc3ccccc3)n(-c3ccccc3)[n+]([O-])c2c1,inactive,391.343,3.8239,1,7,4.509900995
106,CHEMBL1985591,CC(=O)Oc1oc(-c2ccccc2)nc1/C=N/c1ccccc1,inactive,306.321,4.0175,0,5,4.063737658
107,CHEMBL1423709,Cn1cccc1/C=C1/C(=O)NC(=S)N(Cc2ccc(F)cc2)C1=O,inactive,343.383,1.9911,1,4,4
108,CHEMBL1391547,O=C(O)c1ccc2c(c1)[C@@H]1C=CC[C@@H]1[C@H](c1ccccn1)N2,inactive,292.338,3.6063,2,3,4.580374639
109,CHEMBL1532198,O=C(O)CN1C(=O)/C(=C\c2cc([N+](=O)[O-])ccc2OCc2ccccc2Cl)SC1=S,inactive,464.908,4.113,1,7,4.507099989
110,CHEMBL1462687,O=C(Nc1cccc(Oc2ccc(C(=O)O)c(C(=O)O)c2)c1)c1ccc(-c2ccccc2)cc1,inactive,453.45,5.7946,3,4,4.688882157
111,CHEMBL1335165,CSC(SC)=C(C#N)C(=O)c1ccccc1,inactive,249.36,3.33048,0,4,4.072424345
112,CHEMBL1732365,CC1=C(SCc2ccccc2)C(=O)c2ccccc2C1=O,inactive,294.375,4.273,0,3,4.114921616
113,CHEMBL1587159,Cc1c(CCC(=O)O)c(=O)oc2c(C)c3occ(-c4ccc(Cl)cc4)c3cc12,inactive,396.826,5.49364,1,4,4.374893425
114,CHEMBL1344289,COCCNC(=O)c1c(NC(=O)c2ccco2)n(Cc2ccccc2)c2nc3ccccc3nc12,inactive,469.501,3.8543,2,7,4
115,CHEMBL1327721,O=[N+]([O-])c1c(NCCCO)cc(Sc2nc3ccccc3s2)c2nonc12,inactive,403.445,3.6862,2,10,4.63732907
116,CHEMBL1311708,O=C(O)CN1C(=O)/C(=C\c2cccc(OCc3ccc(Cl)cc3)c2)SC1=S,inactive,419.911,4.2048,1,5,4.403842919
117,CHEMBL1462906,N#Cc1c(O)nc(SCc2cccc(C(F)(F)F)c2)nc1-c1ccccc1,inactive,387.386,5.03198,1,5,4.369267107
120,CHEMBL1559165,CSc1sccc1/C=C(/C#N)C(=O)c1ccco1,inactive,275.354,3.85288,0,5,4
121,CHEMBL1462814,Nc1ncc(N=Nc2cc(C(=O)O)ccc2Cl)s1,inactive,282.712,3.4923,2,6,4.133240217
122,CHEMBL1407205,O=C(Nc1sc2c(c1C(=O)O)CCCC2)c1cccc(Cl)c1,inactive,335.812,4.2308,2,3,4.143754599
123,CHEMBL1548688,CCO.N#Cc1c(SC(C(=O)O)c2ccccc2)nc2c(c1-c1cccs1)CCCC2,inactive,452.601,5.47718,2,6,4.406492411
124,CHEMBL1470135,Cc1oc2c(c1C(=O)c1ccccc1)C(=O)C(=O)c1ccccc1-2,inactive,316.312,3.86502,0,4,4.314885531
125,CHEMBL1304402,CN1CCN(C(c2ccccn2)c2cc(Cl)c3cccnc3c2O)CC1,inactive,368.868,3.3256,1,5,4
126,CHEMBL1431075,CC(C)c1nnc(NC(=O)c2nc(S(=O)(=O)Cc3ccc(F)cc3)ncc2Cl)s1,inactive,455.924,3.4702,1,8,4.017819254
127,CHEMBL1304374,COc1cc(Cl)cc(C(c2c(C(=O)O)[nH]c3ccccc23)c2c(C(=O)O)[nH]c3ccccc23)c1O,inactive,490.899,5.5934,5,4,4.771343042
128,CHEMBL1311811,C#CCOc1c(Cl)cc(/C=C2/C(=O)ON=C2C)cc1OCC,inactive,319.744,3.0668,0,5,4
129,CHEMBL1470182,COc1cc(/C=C2\SC(NS(=O)(=O)Cc3ccccc3)=NC2=O)c([N+](=O)[O-])cc1OC,inactive,463.493,2.7019,1,8,4.25352149
130,CHEMBL3144932,Cc1[nH]n(-c2ccccc2)c(=O)c1C(c1cccc([N+](=O)[O-])c1O)c1c(C)[nH]n(-c2ccccc2)c1=O,inactive,497.511,4.05544,3,7,4.500863005
131,CHEMBL1334390,COC(=O)CCC(=O)OC1(C)C(=O)C2=CN(CC3CC3)C(c3ccc(OC)cc3)=CC2=C(Br)C1=O,inactive,544.398,3.7015,0,8,4.514988785
132,CHEMBL1431018,CC1=NN(c2ccc(Br)cc2)C(=O)/C1=C/c1ccc(-c2ccccc2C(=O)O)o1,inactive,451.276,5.2134,1,4,4.523603173
133,CHEMBL1364062,CCCCCc1c2c(cc(O)c1C(=O)O)OC(=O)c1cc(C(=O)CCCC)c(OC)cc1O2,inactive,456.491,5.5295,2,7,4.409381052
134,CHEMBL1391737,O=C(NCc1ccccc1)c1sc(=S)n2c1[nH]c(=O)c1ccccc12,inactive,367.455,3.50179,2,5,4.113509275
135,CHEMBL1430983,COc1cc(/C=C2\SC(=O)N(Cc3ccc(Cl)cc3)C2=O)cc([N+](=O)[O-])c1O,inactive,420.83,4.1989,1,7,4.170953663
136,CHEMBL461622,Nc1scc2c(C(=O)O)nn(-c3ccccc3)c(=O)c12,inactive,287.3,1.7276,2,6,4.346884007
137,CHEMBL1587422,Cc1ccc(C)c(-n2c3nc(=O)[nH]c(=O)c-3cc3cc([N+](=O)[O-])ccc32)c1,inactive,362.345,2.70384,1,6,4.826231177
138,CHEMBL1344491,CCCc1nnc(NC(=O)c2nc(S(=O)(=O)Cc3cccc(C)c3)ncc2Cl)s1,inactive,451.961,3.46862,1,8,4
139,CHEMBL1509648,Cc1ccc(/C=C/C(=O)Nc2ccc([N+](=O)[O-])c(NC(=O)/C=C/c3ccc(C)o3)c2)o1,inactive,421.409,4.70144,2,6,4
140,CHEMBL1509676,COC(=O)c1ccc(N2NC(=O)/C(=C/c3ccc(-c4ccc(Cl)c(C(=O)O)c4)o3)C2=O)cc1,inactive,466.833,3.5462,2,6,4.923359556
141,CHEMBL1541379,CSc1nnc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3)ncc2Cl)s1,inactive,441.947,2.9296,1,9,4.295506303
142,CHEMBL1509704,CSc1ccc(C(c2c(C(=O)O)[nH]c3ccccc23)c2c(C(=O)O)[nH]c3ccccc23)cc1,inactive,456.523,5.9477,4,3,4.311936303
143,CHEMBL1402473,Cc1nc(COC(=O)c2cc(O)c3ccccc3c2O)cs1,inactive,315.35,3.37292,2,6,4.366026844
144,CHEMBL3145223,Cc1[nH]n(-c2ccccc2)c(=O)c1C(c1ccc(O)c([N+](=O)[O-])c1)c1c(C)[nH]n(-c2ccccc2)c1=O,inactive,497.511,4.05544,3,7,4.542723814
145,CHEMBL1402497,CCCCCCSc1nc(O)c(C2OC(=O)c3c2ccc(OC)c3OC)c(=O)n1CC,inactive,448.541,3.9182,1,9,4.244582537
146,CHEMBL1532323,O=C(CCN1C(=O)/C(=C\c2ccccc2F)SC1=S)Nc1ccc(C(=O)O)c(O)c1,inactive,446.481,3.4595,3,6,4.488517711
147,CHEMBL1492926,CC1=NN(c2ccc(Cl)c(C(=O)O)c2)C(=O)/C1=C\c1ccc(-c2ccc(C(=O)O)cc2)o1,inactive,450.834,4.8025,2,5,4.711303739
148,CHEMBL3194554,C=CCOC(=O)C1=C(C)N=c2s/c(=C3\C(=O)N(CC(=O)O)c4ccccc43)c(=O)n2C1c1ccc(OC)cc1.CC(=O)O,inactive,605.625,1.8653,2,10,4.226432951
149,CHEMBL1880447,CC1=NN(c2ccccc2)C(=O)C1=Cc1ccccc1,inactive,262.312,3.4927,0,2,4.22599427
150,CHEMBL1732567,O=C(O)C1=CC[C@@H](c2ccc(Cl)cc2)N(S(=O)(=O)c2ccc(Cl)cc2)[C@H]1c1ccc(Br)cc1,inactive,567.288,6.6439,1,3,4.437707136
151,CHEMBL1440703,CC(=O)Nc1cc(OC(C)=O)c2nonc2c1OC(C)=O,inactive,293.235,1.0318,1,8,4.419759492
152,CHEMBL1458660,Cc1ccc(S(=O)(=O)Nc2ccccc2-c2ccccc2NS(=O)(=O)c2ccc(C)cc2)cc1,inactive,492.622,5.57204,2,4,4.2612987
153,CHEMBL1431163,CN(C)S(=O)(=O)c1cccc(-c2nn(-c3ccccc3)cc2/C=C2\SC(=S)N(CC(=O)O)C2=O)c1,inactive,528.637,3.0754,1,8,4.099414413
154,CHEMBL1351902,Cc1c(N)cc(N)cc1C(=O)O,inactive,166.18,0.85762,3,3,4
155,CHEMBL1470408,O=C(O)CC/C(=C\c1ccc(N2CCCC2)c([N+](=O)[O-])c1)c1nc2ccccc2s1,inactive,423.494,5.2101,1,6,4.365623506
156,CHEMBL1502247,Cc1cccc(C2C3=C(O)c4ccccc4C3=Nc3nn(-c4ccccc4)c(O)c32)c1,inactive,405.457,5.43532,2,5,4.226213555
157,CHEMBL1541247,CCCCCCCCn1c(=O)c(C(=O)OCC)c(O)c2ccccc21,inactive,345.439,4.2443,1,5,4.1125515
158,CHEMBL1304529,O=C(O)c1[nH]c2ccccc2c1C(c1ccccc1)c1c(C(=O)O)[nH]c2ccccc12,inactive,410.429,5.2258,4,2,4.777283529
159,CHEMBL3195827,COc1ccccc1NC1=C(NC(C)=O)C(=O)c2ccccc2C1=O,inactive,336.347,2.534,2,5,4
160,CHEMBL1327816,O=C1C(=O)c2c(C(=O)c3ccccc3)coc2-c2ccccc21,inactive,302.285,3.5566,0,4,4.084652938
161,CHEMBL1564253,O=c1oc2c3c4c(cc2s1)CCCN4CCC3,inactive,247.319,2.5533,0,4,4.061880731
162,CHEMBL1424064,CC(C)(C)C1CCc2c(sc(NC(=O)C3CC=CCC3C(=O)O)c2C#N)C1,inactive,386.517,4.37628,2,4,4.404063094
163,CHEMBL1571258,O=C1NC(=O)C(=Cc2ccc(Sc3ccccc3)o2)C(=O)N1,inactive,314.322,2.1802,2,5,4
